Query,Rank,Proposal_ID,Title,Domain,Methodology,Distance
Transformer models for education analytics,1,P006,AI-Based Curriculum Recommendation using Transformer Models,Education,Transformer Models,0.6014504432678223
Transformer models for education analytics,2,P078,Robust Attendance Analysis using Transformer Models,Education,Transformer Models,0.708693265914917
Transformer models for education analytics,3,P157,Intelligent Learning Analytics using Computer Vision,Education,Computer Vision,0.8030573129653931
Transformer models for education analytics,4,P094,AI-Based Personalized Learning using Big Data Analytics,Education,Big Data Analytics,0.9407089948654175
Transformer models for education analytics,5,P208,Student Performance Prediction using Predictive Analytics,Education,Predictive Analytics,1.062145709991455
Renewable energy forecasting,1,P072,AI-Based Renewable Energy Forecasting using Computer Vision,Energy,Computer Vision,0.6623725891113281
Renewable energy forecasting,2,P100,Robust Renewable Energy Forecasting using Blockchain,Energy,Blockchain,0.8445672988891602
Renewable energy forecasting,3,P108,Smart Renewable Energy Forecasting using Internet of Things,Energy,Internet of Things,0.8496220111846924
Renewable energy forecasting,4,P050,AI-Based Wind Energy Analysis using Deep Learning,Energy,Deep Learning,0.9033041596412659
Renewable energy forecasting,5,P032,Scalable Weather Prediction using Transformer Models,Climate Science,Transformer Models,0.9304141998291016
AI fraud detection,1,P005,Smart Fraud Detection using Explainable AI,Finance,Explainable AI,0.6232372522354126
AI fraud detection,2,P057,Hybrid Fraud Detection using Machine Learning,Finance,Machine Learning,0.7311620116233826
AI fraud detection,3,P059,AI-Based Fraud Detection using Predictive Analytics,Finance,Predictive Analytics,0.9239431619644165
AI fraud detection,4,P105,Intelligent Crop Disease Detection using Explainable AI,Agriculture,Explainable AI,1.1131606101989746
AI fraud detection,5,P191,Fake News Detection using Graph Neural Networks,Social Media,Graph Neural Networks,1.1358885765075684
Projects using Graph Neural Networks in different application domains,1,P052,Novel Industrial Robots using Graph Neural Networks,Robotics,Graph Neural Networks,0.8998823165893555
Projects using Graph Neural Networks in different application domains,2,P063,Automated Robot Navigation using Graph Neural Networks,Robotics,Graph Neural Networks,0.9632656574249268
Projects using Graph Neural Networks in different application domains,3,P017,Smart Production Planning using Graph Neural Networks,Manufacturing,Graph Neural Networks,0.9959328174591064
Projects using Graph Neural Networks in different application domains,4,P019,Novel Air Quality Analysis using Graph Neural Networks,Climate Science,Graph Neural Networks,1.0555754899978638
Projects using Graph Neural Networks in different application domains,5,P066,Robust Medical Imaging using Graph Neural Networks,Healthcare,Graph Neural Networks,1.0691440105438232
