Proposal_ID,Title,Summary,Domain,Methodology,Funding_Agency
P016,Advanced Power Consumption Prediction using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for power consumption prediction in the energy domain. The study aims to optimize workflows using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Big Data Analytics,Industrial Research Council
P074,Automated Autonomous Drones using Internet of Things,"This project proposes the use of Internet of Things techniques for autonomous drones in the robotics domain. The study aims to improve prediction accuracy using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Internet of Things,National Science Foundation
P166,Scalable Fake News Detection using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for fake news detection in the social media domain. The study aims to optimize workflows using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Reinforcement Learning,Innovation Fund
P019,Novel Air Quality Analysis using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for air quality analysis in the climate science domain. The study aims to enhance decision making using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Graph Neural Networks,International Research Foundation
P169,Robust Cancer Detection using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for cancer detection in the healthcare domain. The study aims to reduce operational costs using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Big Data Analytics,Innovation Fund
P094,AI-Based Personalized Learning using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for personalized learning in the education domain. The study aims to increase sustainability using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Big Data Analytics,AI Research Council
P076,Scalable Energy Efficiency using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for energy efficiency in the smart cities domain. The study aims to enhance decision making using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Natural Language Processing,Government Research Board
P056,Hybrid Waste Management using Blockchain,"This project proposes the use of Blockchain techniques for waste management in the smart cities domain. The study aims to support early detection using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Blockchain,Department of Biotechnology
P148,Novel Cancer Detection using Explainable AI,"This project proposes the use of Explainable AI techniques for cancer detection in the healthcare domain. The study aims to provide intelligent recommendations using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Explainable AI,AI Research Council
P110,AI-Based Smart Grid using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for smart grid in the energy domain. The study aims to support early detection using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Big Data Analytics,International Research Foundation
P109,Robust Drug Discovery using Computer Vision,"This project proposes the use of Computer Vision techniques for drug discovery in the healthcare domain. The study aims to increase sustainability using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Computer Vision,National Science Foundation
P143,Efficient Curriculum Recommendation using Explainable AI,"This project proposes the use of Explainable AI techniques for curriculum recommendation in the education domain. The study aims to strengthen security using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Explainable AI,Innovation Fund
P026,Intelligent Solar Optimization using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for solar optimization in the energy domain. The study aims to enhance decision making using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Natural Language Processing,International Research Foundation
P126,Advanced Water Quality using Blockchain,"This project proposes the use of Blockchain techniques for water quality in the environmental science domain. The study aims to automate monitoring using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Blockchain,AI Research Council
P017,Smart Production Planning using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for production planning in the manufacturing domain. The study aims to automate monitoring using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Graph Neural Networks,Government Research Board
P174,Intelligent Wildlife Monitoring using Computer Vision,"This project proposes the use of Computer Vision techniques for wildlife monitoring in the environmental science domain. The study aims to improve resource utilization using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Computer Vision,AI Research Council
P193,Production Planning using Transformer Models,"This proposal develops a Transformer Models framework for production planning within the manufacturing domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Manufacturing,Transformer Models,Innovation Fund
P070,Scalable Soil Monitoring using Explainable AI,"This project proposes the use of Explainable AI techniques for soil monitoring in the agriculture domain. The study aims to provide intelligent recommendations using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Explainable AI,Industrial Research Council
P102,Advanced Credit Scoring using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for credit scoring in the finance domain. The study aims to optimize workflows using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Reinforcement Learning,AI Research Council
P068,Scalable Carbon Monitoring using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for carbon monitoring in the climate science domain. The study aims to support early detection using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Predictive Analytics,Department of Biotechnology
P105,Intelligent Crop Disease Detection using Explainable AI,"This project proposes the use of Explainable AI techniques for crop disease detection in the agriculture domain. The study aims to automate monitoring using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Explainable AI,International Research Foundation
P133,Smart Crop Disease Detection using Internet of Things,"This project proposes the use of Internet of Things techniques for crop disease detection in the agriculture domain. The study aims to reduce operational costs using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Internet of Things,AI Research Council
P181,AI-Based Warehouse Automation using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for warehouse automation in the robotics domain. The study aims to automate monitoring using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Predictive Analytics,Government Research Board
P096,Efficient Fake News Detection using Internet of Things,"This project proposes the use of Internet of Things techniques for fake news detection in the social media domain. The study aims to increase sustainability using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Internet of Things,National Science Foundation
P083,Advanced Community Detection using Transformer Models,"This project proposes the use of Transformer Models techniques for community detection in the social media domain. The study aims to automate monitoring using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Transformer Models,National Science Foundation
P160,Smart Air Quality Analysis using Federated Learning,"This project proposes the use of Federated Learning techniques for air quality analysis in the climate science domain. The study aims to increase sustainability using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Federated Learning,Government Research Board
P198,Fleet Management using Computer Vision,"This proposal develops a Computer Vision framework for fleet management within the transportation domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Transportation,Computer Vision,Industrial Research Council
P163,Smart Solar Optimization using Internet of Things,"This project proposes the use of Internet of Things techniques for solar optimization in the energy domain. The study aims to optimize workflows using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Internet of Things,Innovation Fund
P151,Robust Forest Monitoring using Federated Learning,"This project proposes the use of Federated Learning techniques for forest monitoring in the environmental science domain. The study aims to provide intelligent recommendations using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Federated Learning,Innovation Fund
P097,Robust Threat Intelligence using Computer Vision,"This project proposes the use of Computer Vision techniques for threat intelligence in the cybersecurity domain. The study aims to provide intelligent recommendations using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Computer Vision,International Research Foundation
P201,Crop Disease Detection using Machine Learning,"This proposal develops a Machine Learning framework for crop disease detection within the agriculture domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Agriculture,Machine Learning,AI Research Council
P069,Robust Cancer Detection using Edge Computing,"This project proposes the use of Edge Computing techniques for cancer detection in the healthcare domain. The study aims to improve resource utilization using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Edge Computing,International Research Foundation
P157,Intelligent Learning Analytics using Computer Vision,"This project proposes the use of Computer Vision techniques for learning analytics in the education domain. The study aims to provide intelligent recommendations using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Computer Vision,National Science Foundation
P087,Novel Trend Analysis using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for trend analysis in the social media domain. The study aims to improve prediction accuracy using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Big Data Analytics,Department of Biotechnology
P101,Smart Patient Monitoring using Machine Learning,"This project proposes the use of Machine Learning techniques for patient monitoring in the healthcare domain. The study aims to optimize workflows using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Machine Learning,National Science Foundation
P039,Advanced Demand Forecasting using Machine Learning,"This project proposes the use of Machine Learning techniques for demand forecasting in the retail domain. The study aims to automate monitoring using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Machine Learning,Innovation Fund
P025,Smart Climate Modeling using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for climate modeling in the climate science domain. The study aims to provide intelligent recommendations using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Graph Neural Networks,National Science Foundation
P184,Scalable Trend Analysis using Transformer Models,"This project proposes the use of Transformer Models techniques for trend analysis in the social media domain. The study aims to automate monitoring using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Transformer Models,Government Research Board
P118,Smart Medical Imaging using Federated Learning,"This project proposes the use of Federated Learning techniques for medical imaging in the healthcare domain. The study aims to optimize workflows using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Federated Learning,AI Research Council
P030,Hybrid Smart Grid using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for smart grid in the energy domain. The study aims to automate monitoring using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Reinforcement Learning,Innovation Fund
P020,Robust Yield Prediction using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for yield prediction in the agriculture domain. The study aims to strengthen security using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Graph Neural Networks,Innovation Fund
P136,Robust Customer Analytics using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for customer analytics in the finance domain. The study aims to support early detection using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Predictive Analytics,Government Research Board
P140,Novel Climate Modeling using Computer Vision,"This project proposes the use of Computer Vision techniques for climate modeling in the climate science domain. The study aims to enhance decision making using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Computer Vision,AI Research Council
P067,Robust Fake News Detection using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for fake news detection in the social media domain. The study aims to improve prediction accuracy using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Big Data Analytics,Department of Biotechnology
P066,Robust Medical Imaging using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for medical imaging in the healthcare domain. The study aims to automate monitoring using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Graph Neural Networks,Department of Biotechnology
P006,AI-Based Curriculum Recommendation using Transformer Models,"This project proposes the use of Transformer Models techniques for curriculum recommendation in the education domain. The study aims to enhance decision making using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Transformer Models,National Science Foundation
P147,Efficient Market Basket Analysis using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for market basket analysis in the retail domain. The study aims to improve prediction accuracy using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Predictive Analytics,Government Research Board
P057,Hybrid Fraud Detection using Machine Learning,"This project proposes the use of Machine Learning techniques for fraud detection in the finance domain. The study aims to reduce operational costs using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Machine Learning,AI Research Council
P098,Advanced Solar Optimization using Transformer Models,"This project proposes the use of Transformer Models techniques for solar optimization in the energy domain. The study aims to support early detection using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Transformer Models,Innovation Fund
P129,Automated Water Quality using Blockchain,"This project proposes the use of Blockchain techniques for water quality in the environmental science domain. The study aims to improve prediction accuracy using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Blockchain,Government Research Board
P080,Efficient Human Robot Collaboration using Explainable AI,"This project proposes the use of Explainable AI techniques for human robot collaboration in the robotics domain. The study aims to improve resource utilization using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Explainable AI,Innovation Fund
P206,Threat Intelligence using Blockchain,"This proposal develops a Blockchain framework for threat intelligence within the cybersecurity domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Cybersecurity,Blockchain,Industrial Research Council
P209,Power Consumption Prediction using Explainable AI,"This proposal develops a Explainable AI framework for power consumption prediction within the energy domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Energy,Explainable AI,Industrial Research Council
P032,Scalable Weather Prediction using Transformer Models,"This project proposes the use of Transformer Models techniques for weather prediction in the climate science domain. The study aims to improve prediction accuracy using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Transformer Models,Government Research Board
P013,Novel Water Quality using Transformer Models,"This project proposes the use of Transformer Models techniques for water quality in the environmental science domain. The study aims to increase sustainability using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Transformer Models,Industrial Research Council
P036,Robust Supply Chain Optimization using Transformer Models,"This project proposes the use of Transformer Models techniques for supply chain optimization in the manufacturing domain. The study aims to automate monitoring using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Transformer Models,National Science Foundation
P029,Smart Energy Efficiency using Federated Learning,"This project proposes the use of Federated Learning techniques for energy efficiency in the smart cities domain. The study aims to support early detection using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Federated Learning,International Research Foundation
P043,Intelligent Carbon Monitoring using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for carbon monitoring in the climate science domain. The study aims to reduce operational costs using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Predictive Analytics,National Science Foundation
P116,Scalable Forest Monitoring using Internet of Things,"This project proposes the use of Internet of Things techniques for forest monitoring in the environmental science domain. The study aims to automate monitoring using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Internet of Things,AI Research Council
P099,Robust Medical Imaging using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for medical imaging in the healthcare domain. The study aims to reduce operational costs using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Reinforcement Learning,Department of Biotechnology
P144,Robust Soil Monitoring using Federated Learning,"This project proposes the use of Federated Learning techniques for soil monitoring in the agriculture domain. The study aims to support early detection using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Federated Learning,Government Research Board
P052,Novel Industrial Robots using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for industrial robots in the robotics domain. The study aims to improve resource utilization using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Graph Neural Networks,National Science Foundation
P119,Automated Community Detection using Computer Vision,"This project proposes the use of Computer Vision techniques for community detection in the social media domain. The study aims to strengthen security using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Computer Vision,Government Research Board
P171,Robust Network Security using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for network security in the cybersecurity domain. The study aims to improve resource utilization using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Predictive Analytics,International Research Foundation
P077,Scalable Stock Prediction using Edge Computing,"This project proposes the use of Edge Computing techniques for stock prediction in the finance domain. The study aims to increase sustainability using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Edge Computing,Government Research Board
P042,Smart Cancer Detection using Machine Learning,"This project proposes the use of Machine Learning techniques for cancer detection in the healthcare domain. The study aims to increase sustainability using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Machine Learning,Innovation Fund
P204,Market Basket Analysis using Natural Language Processing,"This proposal develops a Natural Language Processing framework for market basket analysis within the retail domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Retail,Natural Language Processing,Innovation Fund
P079,Intelligent Customer Analytics using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for customer analytics in the finance domain. The study aims to support early detection using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Reinforcement Learning,Department of Biotechnology
P125,AI-Based Risk Assessment using Computer Vision,"This project proposes the use of Computer Vision techniques for risk assessment in the finance domain. The study aims to automate monitoring using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Computer Vision,National Science Foundation
P027,Intelligent Sentiment Analysis using Computer Vision,"This project proposes the use of Computer Vision techniques for sentiment analysis in the social media domain. The study aims to automate monitoring using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Computer Vision,National Science Foundation
P141,Advanced Trend Analysis using Explainable AI,"This project proposes the use of Explainable AI techniques for trend analysis in the social media domain. The study aims to increase sustainability using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Explainable AI,Government Research Board
P179,Smart Fault Detection using Computer Vision,"This project proposes the use of Computer Vision techniques for fault detection in the manufacturing domain. The study aims to enhance decision making using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Computer Vision,AI Research Council
P123,Novel Traffic Monitoring using Internet of Things,"This project proposes the use of Internet of Things techniques for traffic monitoring in the smart cities domain. The study aims to provide intelligent recommendations using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Internet of Things,AI Research Council
P003,Advanced Cancer Detection using Machine Learning,"This project proposes the use of Machine Learning techniques for cancer detection in the healthcare domain. The study aims to provide intelligent recommendations using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Machine Learning,National Science Foundation
P078,Robust Attendance Analysis using Transformer Models,"This project proposes the use of Transformer Models techniques for attendance analysis in the education domain. The study aims to reduce operational costs using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Transformer Models,Government Research Board
P047,Hybrid Wind Energy Analysis using Federated Learning,"This project proposes the use of Federated Learning techniques for wind energy analysis in the energy domain. The study aims to reduce operational costs using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Federated Learning,Government Research Board
P128,Scalable Flood Forecasting using Computer Vision,"This project proposes the use of Computer Vision techniques for flood forecasting in the climate science domain. The study aims to reduce operational costs using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Computer Vision,National Science Foundation
P113,AI-Based Warehouse Automation using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for warehouse automation in the robotics domain. The study aims to increase sustainability using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Predictive Analytics,Industrial Research Council
P091,Hybrid Climate Modeling using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for climate modeling in the climate science domain. The study aims to optimize workflows using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Predictive Analytics,AI Research Council
P086,AI-Based Student Performance Prediction using Edge Computing,"This project proposes the use of Edge Computing techniques for student performance prediction in the education domain. The study aims to increase sustainability using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Edge Computing,Department of Biotechnology
P142,Automated Flood Forecasting using Edge Computing,"This project proposes the use of Edge Computing techniques for flood forecasting in the climate science domain. The study aims to reduce operational costs using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Edge Computing,National Science Foundation
P037,Robust Traffic Monitoring using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for traffic monitoring in the smart cities domain. The study aims to increase sustainability using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Reinforcement Learning,International Research Foundation
P120,AI-Based Cancer Detection using Blockchain,"This project proposes the use of Blockchain techniques for cancer detection in the healthcare domain. The study aims to automate monitoring using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Blockchain,Innovation Fund
P062,Scalable Student Performance Prediction using Blockchain,"This project proposes the use of Blockchain techniques for student performance prediction in the education domain. The study aims to strengthen security using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Blockchain,Department of Biotechnology
P023,Novel Risk Assessment using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for risk assessment in the finance domain. The study aims to improve prediction accuracy using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Reinforcement Learning,Government Research Board
P139,Efficient Patient Monitoring using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for patient monitoring in the healthcare domain. The study aims to optimize workflows using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Reinforcement Learning,National Science Foundation
P112,Hybrid Waste Management using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for waste management in the smart cities domain. The study aims to improve resource utilization using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Natural Language Processing,International Research Foundation
P034,AI-Based Soil Monitoring using Deep Learning,"This project proposes the use of Deep Learning techniques for soil monitoring in the agriculture domain. The study aims to provide intelligent recommendations using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Deep Learning,AI Research Council
